"","sample","maxn","ZoneName","Cluster","Time","Period","CvI"
"Multiple Use Zone.1452","56",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1462","567",8,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1472","570",5,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.1482","579",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1522","599",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1562","61",8,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1572","618",1,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1602","63",2,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.1612","631",1,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1632","634",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1642","635",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.1662","647",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1682","650",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1692","655",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1762","682",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1772","684",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.1792","694",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1802","698",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1872","746",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.1892","75",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1912","759",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.1932","762",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1972","78",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.1982","782",1,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2012","791",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2032","800",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.2072","823",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.2102","839",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2122","843",0,"Multiple Use Zone",13,"T3","Before","Control"
"Multiple Use Zone.2142","855",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2152","858",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.2162","86",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.2172","87",0,"Multiple Use Zone",11,"T3","Before","Control"
"Multiple Use Zone.2182","88",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.2212","90",0,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.2252","95",3,"Multiple Use Zone",9,"T3","Before","Control"
"Multiple Use Zone.2312","GBR1-2",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.2392","RB1",0,"Multiple Use Zone",12,"T3","Before","Control"
"Multiple Use Zone.2402","RB2",0,"Multiple Use Zone",10,"T3","Before","Control"
"Multiple Use Zone.2422","RC2",1,"Multiple Use Zone",10,"T3","Before","Control"
"National Park Zone.642","170",0,"National Park Zone",14,"T3","Before","Impact"
"National Park Zone.1072","378",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.1182","42",0,"National Park Zone",14,"T3","Before","Impact"
"National Park Zone.1442","554",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.1492","58",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.1512","586",0,"National Park Zone",14,"T3","Before","Impact"
"National Park Zone.1712","666",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.2052","810",0,"National Park Zone",15,"T3","Before","Impact"
"National Park Zone.2082","826",0,"National Park Zone",14,"T3","Before","Impact"
