"","sample","maxn","latitude","longitude","depth","ZoneName"
"204","61",4,-33.4992833,115.1345167,34.8,"Multiple Use Zone"
"207","618",30,-33.5678833,115.3528167,14.5,"Multiple Use Zone"
"208","62",1,-33.4505,115.3306833,29.3,"Special Purpose Zone (Mining Exclusion)"
"210","624",2,-33.4209667,115.4918833,17.5,"Special Purpose Zone (Mining Exclusion)"
"211","63",13,-33.50385,115.2562,30,"Multiple Use Zone"
"212","631",5,-33.5778833,115.2541167,21,"Multiple Use Zone"
"213","633",3,-33.4711667,115.4535,16.2,"Special Purpose Zone (Mining Exclusion)"
"214","634",2,-33.5336667,115.4141167,13,"Multiple Use Zone"
"215","635",2,-33.5809667,115.1995667,21.2,"Multiple Use Zone"
"216","64",4,-33.4364167,115.50945,14.2,"Special Purpose Zone (Mining Exclusion)"
"218","647",1,-33.4926,115.42465,15.3,"Multiple Use Zone"
"219","65",0,-33.3597167,115.2047667,39.4,"Special Purpose Zone (Mining Exclusion)"
"220","650",2,-33.5131167,115.3715667,21.1,"Multiple Use Zone"
"221","655",11,-33.5812,115.2456833,20.5,"Multiple Use Zone"
"222","656",1,-33.3713167,115.5503833,9,"Special Purpose Zone (Mining Exclusion)"
"223","666",41,-33.5511167,115.35715,15.6,"National Park Zone"
"224","67",6,-33.4783167,115.0859333,39.4,"Special Purpose Zone (Mining Exclusion)"
"225","672",1,-33.4004333,115.53565,8.4,"Special Purpose Zone (Mining Exclusion)"
"226","679",2,-33.4721333,115.4152667,12,"Special Purpose Zone (Mining Exclusion)"
"227","68",0,-33.3881667,115.2426,38.9,"Special Purpose Zone (Mining Exclusion)"
"228","682",3,-33.5696167,115.3354167,15.2,"Multiple Use Zone"
"229","684",0,-33.5845333,115.1735,20.6,"Multiple Use Zone"
"231","69",0,-33.3534333,115.4040333,28.7,"Special Purpose Zone (Mining Exclusion)"
"232","694",7,-33.5280667,115.34985,21.3,"Multiple Use Zone"
"233","698",10,-33.5246167,115.4035333,14,"Multiple Use Zone"
"234","7",29,-33.4204833,115.4457,23.2,"Special Purpose Zone (Mining Exclusion)"
"235","70",2,-33.4158833,115.1513667,41,"Special Purpose Zone (Mining Exclusion)"
